4.1.4 Vocabulary: Tengwar Names I
---------------------------------
aha	rage	n.
anna	gift	n.
formen	north	n.
calma	lamp	n.
hwesta	breeze	n.
hyarmen	south	n.
lambe	language	n.
malta	gold (metal)	n.
nwalme	torment	n.
númen	west	n.
óre	heart (inner mind)	n.
parma	book	n.
quesse	feather	n.
rómen	east	n.
silme	starlight	n.
súle	breath; (movement of) spirit	n.
tinco	metal	n.
úre	heat	n.
vilya	air, (lower) sky	n.
yanta	bridge	n.

4.2.4a Vocabulary: Body Parts
-----------------------------
ambos	chest	n.
ambori	chests	n.
axo	bone	n.
hón	heart (physical)	n.
homi	hearts	n.
hroa	body	n.
leper	finger	n.
má	hand	n.
pire	toe	n.
ranco	arm	n.
ranqui	arms	n.
serce	blood	n.
súma	bosom	n.
tál	foot; bottom	n.
tali	feet	n.
telco	leg; stem	n.
telqui	legs; stems	n.

4.2.4b Vocabulary: Colours
--------------------------
carne	red	adj.
culuina	orange, golden-red	adj.
fána	white	adj.
laurea	golden (light or colour)	adj.
laica	green	adj.
luine	blue	adj.
malina	yellow	adj.
míse	[pale] grey	adj.
morna	black	adj.
néca	pale, dim	adj.
ninque	white; pallid; chill	adj.
quile	colour	n.
quilea	coloured	adj.
sinda	grey	adj.
varne	brown	adj.

4.3.4a Vocabulary: Food
-----------------------
apsa	meat (cooked)	n.
culuma	orange [fruit]	n.
massa	bread	n.
masta	bakes	v.
mastane	baked	pa.t.
mat	meal	n.
matti	meals	n.
mate	eats	v.
mante	ate	pa.t.
matta	food	n.
maxa	cooks	v.
maxane	cooked	pa.t.
nace	bites	v.
nance	bit	pa.t.
nehte	honey	n.
orva	apple	n.
quea	vegetable	n.
yáve	fruit	n.

4.3.4b Vocabulary: Drink
------------------------
lave	licks	v.
láve	licked	pa.t.
lamba	tongue (physical)	n.
limpe	wine	n.
miruvóre	mead, nectar-drink	n.
nén	water	n.
neni	waters	n.
ulya	pours	v.
ulle	poured	pa.t.
ulyane	poured [something]	pa.t.
yule	drinks	v.
yulde	drank	pa.t.
yulda	drink	n.
yulma	cup	n.

4.4.4 Vocabulary: Example Verbs
-------------------------------
ala	flourishes, grows (plants)	v.
alane	flourished, grew (plants)	pa.t.
caita	lies (down); lays, places	v.
caine	lay (down)	pa.t.
caitane	laid, placed	pa.t.
cave	receives	v.
cambe	received	pa.t.
cese	searches, examines	v.
cense	searched, examined	pa.t.
coita	lives	v.
coine	lived	pa.t.
hlare	hears	v.
hlasse	heard	pa.t.
lahe	kicks	v.
lacce	kicked	pa.t.
lauta	abounds	v.
laune	abounded	pa.t.
neme	seems	v.
nemne	seemed	pa.t.
nire	presses, pushes	v.
nirne	pressed, pushed	pa.t.
pase	smoothes	v.
panse	smoothed	pa.t.
rafe	snatches	v.
rappe	snatched	pa.t.
rere	sows	v.
rende	sowed	pa.t.
tupe	covers	v.
tumpe	covered	pa.t.
virya	changes	v.
virne	changed	pa.t.
vista	changes [something]	v.
vistane	changed [something]	pa.t.

4.5.3 Vocabulary: The Elements
------------------------------
cala	light	n.
calta	kindles	v.
caltane	kindled	pa.t.
calima	bright	adj.
cemen	earth	n.
helce	ice	n.
hrise	snows (impersonal)	v.
hrinse	snowed	pa.t.
lauca	warm	adj.
losse	snow; snow-white; (white) blossom	n. and adj.
more	dark	adj.
mornie	darkness	n.
nique	is cold, freezes	v.
nicune	was cold, froze	pa.t.
náre	fire	n.
ringa	cold	adj.
ringe	cold	n.
sar	(small) stone	n.
sarni	(small) stones	n.
ule	rains (impersonal)	v.
úle	rained	pa.t.
ulo	rain	n.
úra	hot [unpleasantly]	adj.
vista	air (as a substance)	n.

4.7.1 Vocabulary: Miscellaneous
-------------------------------
erde	seed	n.
faire	spirit, phantom	n.
harma	treasure	n.
leuca	snake	n.
locin	bent	adj.
lúva	bow, bend	n.
maiwe	gull	n.
man	who	pron.
métima	last, ultimate	adj.
nóle	lore, knowledge	n.
olva	plant	n.
resta	field (tilled)	n.
saila	wise	adj.
téma	series, row, line	n.
tyelle	grade, step (of ladder/stairs)	n.
urulóce	(fire) dragon	n.
yaime	wail	n.
yaimea	wailing	adj.
