8.1.9 Vocabulary: Actions
-------------------------
care	does, makes	v.
carne	did, made	pa.t.
care	action, deed	n.
cúna	bends	v.
cúnane	bent	pa.t.
móle	labour, work	n.
móta	works	v.
mótane	worked	pa.t.
nique   is cold, freezes    v.
nicune  was cold, froze pa.t.
nute	ties	v.
nunte	tied	pa.t.
race	breaks	v.
rance	broke	pa.t.
sulpa	laps up	v.
sulpane	lapped up	pa.t.
tamba	knocks	v.
tambane	knocked	pa.t.
tengwa	reads (writing)	v.
tengwane	read (writing)	pa.t.
tuce	pulls	v.
tunce	pulled	pa.t.
tyare	causes	v.
tyarne	caused	pa.t.
tyaro	doer, agent	n.

8.2.4 Vocabulary: Happy Emotions
--------------------------------
aistana	blessed	adj.
alasse	happiness	n.
alassea	happy	adj.
alma	good fortune	n.
avalda	excited	adj.
estel	hope, faith	n.
fasta	pleases	v.
fastane	pleased	pa.t.
felme	emotion	n.
hórea	impulsive	adj.
íre	desire	n.
lala	laughs	v.
lalane	laughed	pa.t.
mele	loves (deeply)	v.
méle	loved (deeply)	pa.t.
melda	dear, beloved	adj.
melme	love	n.
mere	hopes, wishes, wants	v.
merne	hoped, wished, wanted	pa.t.
mique	kisses	v.
micune	kissed	pa.t.
mique	kiss	n.
nilme	friendship	n.
raita	smiles	v.
reante	smiled	pa.t.
tyale	plays	v.
tyalle	played	pa.t.
yerme	sexual desire	n.

8.2.5 Vocabulary: Question Words
--------------------------------
cesta	asks	v.
cestane	asked	pa.t.
hanquenta	answer	n.
hanquete	answers	v.
hanquente	answered	pa.t.
ma	(question word)	adv.
mallo	whence	adv.
malume	when	adv.
man	who	pron.
mana	what	pron.
manan	why	adv.
manen	how	adv.
manna	whither	adv.
maquete	questions	v.
maquente	questioned	pa.t.
masse	where	adv.
ná	yes, it is so	interj.
sá	yes, I agree	interj.
ui	no, it is not	interj.
vá	no, I won’t	interj.

8.3.3 Vocabulary: Unhappy Emotions
----------------------------------
aha	rage	n.
hráva	wild	adj.
mailea	lustful	adj.
naica	painful	adj.
naice	pain	n.
naina	laments	v.
nainane	lamented	pa.t.
naire	sorrow	n.
nairea	sad, sorrowful	adj.
nie	tear [from crying]	n.
nwalme	torment	n.
raiqua	angry	adj.
ruhta	terrifies	v.
ruhtane	terrified	pa.t.
sosse	fear	n.
sorya	is afraid	v.
soronye	was afraid	pa.t.
teve	hates	v.
téve	hated	pa.t.
uhta	dislikes	v.
uhtane	disliked	pa.t.
yarra	growls	v.
yarrane	growled	pa.t.

8.5.1 Vocabulary: Miscellaneous
-------------------------------
ai	ah, alas	interj.
oromar	lofty hall	n.
oromardi	lofty halls	n.
únotima	numberless, (lit.) uncountable	adj.
yén	Elvish long year (144 solar years)	n.
