6.1.4 Vocabulary: Warfare
-------------------------
cáno	commander	n.
castol	helmet	n.
costa	quarrels	v.
costane	quarreled	pa.t.
cotto	enemy	n.
ehte	spear	n.
hesto	captain	n.
macil	sword	n.
mahta	handles, wields; fights	v.
mahtane	handled, wielded; fought	pa.t.
ohta	war	n.
ohtar	warrior	n.
raine	peace	n.
rehta	rescues, saves	v.
rehtane	rescued, saved	pa.t.
roquen	rider, knight	n.
sanda	shield	n.
ture	conquers, rules	v.
turne	conquered, ruled	pa.t.
turu	defeats	v.
turune	defeated	pa.t.
varna	safe, protected	adj.
varya	protects	v.
varyane	protected	pa.t.

6.2.2 Vocabulary: Animals
-------------------------
aiwe	bird	n.
alqua	swan	n.
huo	dog	n.
laman	animal	n.
lamni	animals	n.
leuca	snake	n.
lingwe	fish	n.
lopolde	rabbit	n.
máma	sheep	n.
miue	cat	n.
morco	bear	n.
mundo	bull	n.
nyarro	rat	n.
ohte	egg	n.
poroce	chicken	n.
quáce	frog	n.
ráca	wolf	n.
rauro	lion	n.
rocco	horse	n.
soron	eagle	n.
sorni	eagles	n.
urulóce	(fire) dragon	n.
yaxe	cow	n.

6.3.4 Vocabulary: Time
----------------------
epe	after [time]; before [place]	prep.
illume	always	adv.
lú	a time, occasion	n.
lúme	(period of) time, hour	n.
metta	ending [temporal]	n.
né	ago	adv.
nessa	young	adj.
nó	before [time]; at back of [place]	prep.
oiale	forever	adv.
pusta	stops	v.
pustane	stopped	pa.t.
rongo	soon	adv.
sí	now	adv.
tá	then	adv.
telya	finishes	v.
telyane	finished	pa.t.
ter	through	prep.
tulma	event	n.
vinya	new, young	adj.
yára	old	adj.
yesta	beginning	n.

6.4.4 Vocabulary: Quantity
--------------------------
amba	more	adj.
ambe	more	adv.
cumna	empty	adj.
fárea	enough	adj.
eressea	lonely	adj.
ilya	every, each	adj.
ilye	all [pl.]	adj.
métima  last [temporal]	adj.
note	counts	v.
nonte	counted	pa.t.
nóte	number	n.
quanta	full	adj.
quanta	fills	v.
quantane	filled	pa.t.
rie	only	adv.
rimbe	host, crowd	n.
telda	last, final	adj.

6.5.1 Vocabulary: Numbers
-------------------------
min	one	num.
atta	two	num.
nelde	three	num.
canta	four	num.
lempe	five	num.
enque	six	num.
otso	seven	num.
toldo	eight	num.
nerte	nine	num.
quean	ten	num.
minque	eleven	num.
yunque	twelve	num.
er	one, alone	adj. and adv.
yúyo	both	adj.
minya	first	num.
attea	second	num.
neldea	third	num.
otsea	seventh	num.
quainea	tenth	num.

6.5.3 Large Numbers
-------------------
nelque	thirteen	num.
canque	fourteen	num.
lepenque	fifteen	num.
enenque	sixteen	num.
otoque	seventeen	num.
tolque	eighteen	num.
neterque	nineteen	num.
yuquain	twenty	num.
nelquain	thirty	num.
canquain	forty	num.
lepenquain	fifty	num.
enquain	sixty	num.
otoquain	seventy	num.
tolquain	eighty	num.
neterquain	ninety	num.

6.7.1 Vocabulary: Miscellaneous
---------------------------------------
cuivie	awakening	n.
earuile	seaweed	n.
entule	returns	v.
entúle	returned	pa.t.
enyalie	memory	n.
latya	opens	v.
latyane	opened	pa.t.
lattin	window	n.
mahalma	throne	n.
roita	pursues, chases	v.
roitane	pursued, chased	pa.t.
sina	this	adj.
tennoio	forever[more]	adv.
termare	endures, lasts	v.
termarne	endured	pa.t.
vanda	oath	n.
voronda	faithful	adj.
voronwe	faith	n.
