11.1.4 Vocabulary: Mind
-----------------------
alasaila	unwise	adj.
auta	invents	v.
autane	invented	pa.t.
enyale	recalls, remembers	v.
enyalle	recalled, remembered	pa.t.
finya	clever	adj.
handa	intelligent	adj.
hanya	understands	v.
hanyane	understood	pa.t.
inca	idea	n.
indo	(inner) mind; the will	n.
induinen	purpose	n.
intya	guess, notion	n.
intya	guesses	v.
intyane	guessed	pa.t.
ista	knows	v.
sinte	knew	pa.t.
muina	secret	adj.
neme	seems	v.
nemne	seemed	pa.t.
nóle	lore, knowledge	n.
óre	heart (metaphorical), conscience	n.
pare	learns	v.
parne	learned	pa.t.
saila	wise	adj.
sana	thinks	v.
sanane	thought	pa.t.
sanar	mind	n.
sanwe	thought	n.
save	believes	v.
sáve	believed	pa.t.
sinwa	known, certain	adj.

11.2.5 Vocabulary: Supernatural
-------------------------------
aina	holy	adj.
ainas	shrine	n.
ainassi	shrines	n.
ainu	angel, holy spirit (m.)	n.
aini	angel, holy spirit (f.)	n.
aire	holiness	n.
curuni	witch	n.
Eru	The One, God	n.
faire	spirit (disembodied)	n.
fea	spirit, soul	n.
húna	accursed	adj.
húta	curses	v.
hunte	cursed	pa.t.
hyame	prays	v.
hyamne	prayed	pa.t.
lúce	enchantment, magic	n.
mána	blessing	n.
násie	amen, may it be so	interj.
núle	sorcery	n.
rauco	demon	n.
sairon	wizard	n.
umbar	fate, doom	n.
umbarti	fates, dooms	n.

11.3.8 Vocabulary: Law and Society
----------------------------------
aran	king	n.
aranel	princess	n.
arda	realm, world	n.
cundo	prince	n.
cundur	princes	n.
heri	lady	n.
heru	lord	n.
heru	rules	v.
herune	ruled	pa.t.
hilde	heir, follower	n.
mól	slave	n.
núro	servant	n.
omentie	meeting	n.
tári	queen	n.

11.4.1 Vocabulary: Miscellaneous
--------------------------------
caimasan	bedroom	n.
caimasambi	bedrooms	n.
filit	sparrow, small bird	n.
filici	sparrows, small birds	n.
hiswa	grey [of weather]	adj.
hó	owl	n.
imbilat	deep valley	n.
lícuma	candle	n.
linde	singing, musical sound	n.
lós	inflorescense	n.
malo	pollen, yellow powder	n.
malur	pollens	n.
luppo	lump	n.
luppur	lumps	n.
pí	small insect	n.
sú	sound of wind	n.
tirion	watch tower	n.
tyalie	play, mirth	n.
