9.1.5 Vocabulary: Trade
-----------------------
alya	rich, prosperous	adj.
anna	gift	n.
anta	gives	v.
antane	gave	pa.t.
armar	goods [pl.]	n.
cave	receives	v.
cambe	received	pa.t.
harma	treasure	n.
lepe	takes	v.
lempe	took	pa.t.
mahar	tradesman, merchant	n.
manca	trades	v.
mancane	traded	pa.t.
mapa	grasps, seizes	v.
mapane	grasped, seized	pa.t.
mirwa	precious, valuable	adj.
nete	gets	v.
nente	got	pa.t.
pene	doesn’t have, lacks	v.
penne	lacked	pa.t.
penya	lacking, poor	adj.
same	has	v.
sáme	had	pa.t.
telpe	silver, money	n.

9.2.4 Vocabulary: Craft
-----------------------
cate	shapes, fashions	v.
cante	shaped, fashioned	pa.t.
carasta	builds	v.
carastane	built	pa.t.
cirma	knife	n.
curwe	craft, skill (of the hand)	n.
emma	picture	n.
namba	hammer	n.
namba	hammers	v.
nambane	hammered	pa.t.
tace	fastens	v.
tance	fastened	pa.t.
tanca	firm, fixed, sure	adj.
tamma	tool	n.
tamo	smith, builder	n.
taxe	nail	n.
tamin	forge	n.

9.3.2a Vocabulary: Adverbs
--------------------------
aqua	fully, completely	adv.
cé	maybe, possibly	adv.
en	yonder; then (future)	adv.
né	ago	adv.
mai	well	adv.
néya	once, at one time	adv.
oa	away	adv.
rie	only	adv.
rongo	soon	adv.
sí	now	adv.
tá	then (past)	adv.

9.3.2b Vocabulary: Clothing
---------------------------
cole	carries, bears, wears	v.
colle	carried, bore, wore	pa.t.
collo	cloak	n.
corma	ring	n.
hampe	clothing	n.
hyapat	shoe	n.
laupe	shirt	n.
míre	jewel, gem	n.
quilta	belt	n.
serinde	seamstress	n.
sere	sews	v.
serne	sewed	pa.t.
tancal	brooch	n.
vacco	jacket	n.

9.4.4 Vocabulary: More Attributes
---------------------------------
amanya	blessed	adj.
arya	excelling, better	adj.
cólima	light, bearable	adj.
finwa	️dexterous, clever	adj.
helca	icy	adj.
lauca	warm	adj.
lungo	heavy	adj.
lungwi	heavy [pl.]	adj.
maica	sharp	adj.
musse	soft	adj.
nenda	wet	adj.
norna	hard, tough	adj.
parca	dry	adj.
pasta	smooth	adj.
poica	clean, pure	adj.
poita	cleans	v.
poitane	cleaned	pa.t.
ringa	cold	adj.
ringe	cold	n.
vára	dirty	adj.
úra	hot [unpleasantly]	adj.
úre	heat	n.

9.5.1 The Week
--------------
enquie	Elvish week (six days)	n.
otsola	week (seven days)	n.
Anarya	Sunday	n.
Isilya	Monday; Moon-day	n.
Aldúya	Tuesday; Trees-day	n.
Menelya	Wednesday; Heavens-day	n.
Earenya	Thursday; Sea-day [not in Elvish week]	n.
Valanya	Friday, Vala-day	n.
Elenya	Saturday, Star-day	n.

9.5.2 The Months
----------------
asta	month	n.
Narvinye	January, New-fire	n.
Nénime	February, Wetness	n.
Súlime	March, Windy	n.
Víresse	April, Freshness	n.
Lótesse	May, Flowery	n.
Nárie	June, Firey	n.
Cermie	July, Earthy	n.
Úrime	August, Hotness	n.
Yavannie	September, Yavanna-ness	n.
Narquelie	October, Sun-fading	n.
Hísime	November, Misty	n.
Ringare	December, Coldness	n.

9.5.3 The Year and the Seasons
------------------------------
loa	(seasonal) year	n.
nóloa	yesteryear	n.
coranar	(solar) year, sun-round	n.
coranári	(solar) years	n.
yén	Elvish long year (144 solar years)	n.
hríve	winter	n.
coire	early spring, stirring	n.
tuile	spring, budding	n.
laire	summer	n.
yávie	autumn, harvest	n.
quelle	late autumn, fading	n.
lasselanta	autumn, leaf-fall	n.

9.7.1 Vocabulary: Miscellaneous
-------------------------------
amba	more (adj.)	adj.
ambe	more (adv.)	adv.
fanta	veils, cloaks	v.
fantane	veiled, cloaked	pa.t.
ferya	readies, prepares	v.
feryane	readied, prepared	pa.t.
hasta	mars	v.
hastane	marred	pa.t.
heru	lord	n.
móna	womb	n.
ore	urges	v.
orne	urged	pa.t.
perya	halves	v.
peryane	halved	pa.t.
turu	masters, defeats	v.
turune	mastered, defeated	pa.t.
