3.1.3 Vocabulary: Language
------------------------------
esse	name	n.
esta	names	v.
estane	named	pa.t.
henta	reads, scans	v.
hentane	read, scanned	pa.t.
hyalin	paper	n.
lambe	language	n.
lúmequenta	history	n.
nyáre	tale, account	n.
nyare	tells, recites	v.
nyarne	told, recited	pa.t.
óma	voice	n.
parma	book	n.
quenta	story	n.
quete	says, speaks	v.
quente	said, spoke	pa.t.
quetta	word	n.
tece	writes	v.
tence	wrote	pa.t.
tecil	pen	n.
tehta	written mark, diacritic	n.
tengwa	letter (of the alphabet)	n.
sarme	writing	n.
yale	summons, calls	v.
yalle	summoned, called	pa.t.

3.2.5 Vocabulary: Music
------------------------------
laire	poem	n.
lilta	dances	v.
liltane	danced	pa.t.
lindale	music	n.
lindo	singer	n.
lire	sings	v.
lirne	sang	pa.t.
liru	sings (gaily)	v.
lirune	sang (gaily)	pa.t.
líre	song	n.
nande	harp	n.
nyelle	bell	n.
róma	horn (musical)	n.
simpa	flute	n.
tompa	drum	n.

3.2.6 Pronoun Summary
------------------------------
ni	me	pron.
tye	you (familiar)	pron.
lye	you	pron.
se	him, her	pron.
sa	it	pron.
me	us (but not you)	pron.
ve	us (including you)	pron.
le	you (pl.)	pron.
te	them	pron.
tai	them (neuter)	pron.
-nye	I	suf.
-tye	you (familiar)	suf.
-lye	you	suf.
-sse	he, she	suf.
-ssa	it	suf.
-lme	we (but not you)	suf.
-lve	we (including you)	suf.
-lde	you (pl.)	suf.
-nte	they	suf.
-nya	my	suf.
-tya	your (familiar)	suf.
-lya	your	suf.
-rya	his, her	suf.
-lma	our (but not your)	suf.
-lva	our (including your)	suf.
-lda	your (pl.)	suf.
-nta	their	suf.

3.3.4 Vocabulary: Politeness
------------------------------
a	oh	interj.
á	(request/command)	particle.
ai	ah, alas	interj.
aiya	hail	interj.
ela	behold	interj.
fasta	pleases	v.
fastane	pleased	pa.t.
hanta	thanks, gives thanks	v.
hantane	thanked, gave thanks	pa.t.
ma	(question word)	adv.
márie	well, happily; goodness, happiness	adv. and n.
márienna	to happiness (farewell)	interj.
máriesse	in happiness (greeting)	interj.
mecin	please	adv.
ná	yes	interj.
namárie	farewell	interj.
tar	honorific, sir, madam	n.
ui	no	interj.
yé	lo	interj.

3.3.4a Vocabulary: Times
------------------------------
aure	day(time)	n.
ambaróne	dawn	n.
andúne	sunset; the West	n.
arin	morning	n.
enar	tomorrow	n.
lóme	night	n.
noa	yesterday	n.
ré	day (24 hours)	n.
síra	today	n.
undóme	twilight, dusk	n.

3.3.4b Vocabulary: Directions
------------------------------
amba	up(wards)	adv.
oa	away	adv.
formen	north	n.
forya	right (hand)	adj.
haira	far, remote	adj.
haiya	far away	adv.
hyarmen	south	n.
hyarya	left (hand)	adj.
númen	west	n.
orya	rises	v.
oronye	rose	pa.t.
rómen	east	n.
undu	down, beneath	adv.

3.6.1 Vocabulary: Miscellaneous
------------------------------
alassea	happy	adj.
alassea	happy	adj.
anta	gives	v.
antane	gave	pa.t.
care	does, makes	v.
carne	did, made	pa.t.
cene	sees, looks	v.
cenne	saw, looked	pa.t.
fea	spirit, soul	n.
hire	finds	v.
hirne	found	pa.t.
hlas	ear	n.
hroa	body	n.
manta	blesses	v.
mantane	blessed	pa.t.
menya	ours, our (exclusive)	adj.
mere	hopes, wishes, wants	v.
merne	hoped, wished, wanted	pa.t.
ninya	mine, my	adj.
nwalme	torment	n.
ó	(together) with	prep.
ohta	war	n.
quesse	feather	n.
tyáve	taste	n.
tyave	tastes	v.
tyáve	tasted	pa.t.
vanwa	lost, gone	adj.
