10.1.3 Vocabulary: Health
-------------------------
asarta	doctor	n.
asea	healing herb	n.
engwa	sickly	adj.
harna	wounds	v.
harnane	wounded	pa.t.
hasa	treats, cures	v.
hasane	treated, cured	pa.t.
hlaiwa	sick	adj.
hlíve	sickness	n.
limpa	frail, weak	adj.
lumba	weary	adj.
mále	good health	n.
turca	strong (physically)	adj.

10.2.3 Vocabulary: Dwelling
---------------------------
ampano	building	n.
caima	bed	n.
calma	lamp	n.
coa	house	n.
fende	door	n.
hanwa	chair	n.
már	home	n.
mari	homes	n.
mare	lives, dwells	v.
marne	lived, dwelled	pa.t.
paluhta	table	n.
ramba	wall	n.
sambe	room	n.
tópa	roof	n.

10.2.4 Vocabulary: Demonstratives
---------------------------------
en	yonder; then (future)	pron.
enta	that yonder	adj.
si	this	pron.
sí	now	adv.
sille	like this	adv.
silo	hence, from here	adv.
silume	this time	adv.
sina	this	adj.
sinen	by this means	adv.
sinna	to here	adv.
sinome	here, this place	adv.
sira	hither (archaic)	adv.
sisse	here	adv.
sís	here [alternate form]	adv.
síte	of this sort	adv.
síve	as, this like	prep.
ta	that	pron.
tá	then (past)	adv.
talle	like that	adv.
talo	thence, from there	adv.
talume	that time	adv.
taite	of that sort	adv.
tama	that matter	pron.
tambe	so, that like	prep.
tana	that	adj.
tanome	there, that place	adv.
tanna	to there	adv.
tanen	in that way	adv.
tara	thither (archaic)	adv.
tasse	there	adv.
tensi	still, up until now (present)	adv.
tenta	yet, up until then (past)	adv.

10.3.3 Vocabulary: Shapes and Similarity
----------------------------------------
ampa	hook	n.
assa	hole	n.
canta	shape	n.
cantil	rectangle	n.
corna	round	adj.
coron	globe, ball	n.
corni	globes, balls	n.
imya	same, identical	adj.
neltil	triangle	n.
rinde	circle	n.
téma	series, row, line	n.
ve	as, like	prep.
vea	seeming, apparent	adj.
véla	alike, similar	adj.
virya	changes	v.
virne	changed	pa.t.
vista	changes [something]	v.
vistane	changed [something]	pa.t.

10.3.3 Vocabulary: Reflexives
-----------------------------
imle	yourself (polite)	pron.
imme	ourselves (exclusive)	pron.
imni	myself	pron.
inde	yourselves	pron.
insa	itself	pron.
inse	himself, herself	pron.
inte	themselves	pron.
intye	yourself (familiar)	pron.
inwe	ourselves (inclusive)	pron.
-xe	he/she ... himself/herself	suf.
-xer	they ... themselves	suf.
-xet	they two ... themselves	suf.

10.4.2 Vocabulary: Materials
----------------------------
anga	iron	n.
calca	glass	n.
colca	box	n.
hempa	cord, rope	n.
lanne	cloth	n.
malta	gold (metal)	n.
ondo	rock, stone (as material)	n.
poco	bag	n.
tinco	metal	n.
telpe	silver, money	n.
tó	wool	n.
toa	wood (as material)	n.

10.6 Vocabulary: Miscellaneous
------------------------------
aranie	kingdom	n.
cese	searches, examines	v.
cense	searched, examined	pa.t.
Ea	Existence, the Universe	n.
ece	has a chance to	v.
ence	had a chance to	pa.t.
indóme	will[power]	n.
ista	knows	v.
sinte	knew	pa.t.
lerta	is free to	v.
lertane	was free to	pa.t.
mauya	compels	v.
maune	compelled	pa.t.
pole	can, is able to	v.
polle	could, was able to	pa.t.
